Point_Name,X_m,Y_m,Z_m,X_Ri,Y_Ri,Z_Ri
VisnavModel3 v2:1 -> beacon1,0.984807753,0.173648178,-0.5,1,0,-0.5
VisnavModel3 v2:1 -> beacon2,1.05999962,-0.252786088,0.25,1,-0.4330127,0.25
VisnavModel3 v2:1 -> beacon3,0.909615886,0.600082444,0.25,1,0.4330127,0.25
VisnavModel3 v2:1 -> beacon4,1.969615506,0.347296355,1,2,0,1
VisnavModel3 v2:1 -> beacon5,1.819231773,1.200164887,-0.5,2,0.8660254,-0.5
VisnavModel3 v2:1 -> beacon6,2.119999239,-0.505572177,-0.5,2,-0.8660254,-0.5
