Point_Name,X_m,Y_m,Z_m,X_Ri,Y_Ri,Z_Ri
VisnavModel3 v2:1 -> beacon1,1.984807753,2.173648178,-0.5,1,0,-0.5
VisnavModel3 v2:1 -> beacon2,2.05999962,1.747213912,0.25,1,-0.4330127,0.25
VisnavModel3 v2:1 -> beacon3,1.909615886,2.600082444,0.25,1,0.4330127,0.25
VisnavModel3 v2:1 -> beacon4,2.969615506,2.347296355,1,2,0,1
VisnavModel3 v2:1 -> beacon5,2.819231773,3.200164887,-0.5,2,0.8660254,-0.5
VisnavModel3 v2:1 -> beacon6,3.119999239,1.494427823,-0.5,2,-0.8660254,-0.5
